COUNTRY;REGION
Finland;Western Europe
Denmark;Western Europe
Iceland;Western Europe
Israel;Middle East and North Africa
Netherlands;Western Europe
Sweden;Western Europe
Norway;Western Europe
Switzerland;Western Europe
Luxembourg;Western Europe
New Zealand;North America and ANZ
Austria;Western Europe
Australia;North America and ANZ
Canada;North America and ANZ
Ireland;Western Europe
United States;North America and ANZ
Germany;Western Europe
Belgium;Western Europe
Czechia;Unknown
United Kingdom;Western Europe
Lithuania;Central and Eastern Europe
France;Western Europe
Slovenia;Central and Eastern Europe
Costa Rica;Latin America and Caribbean
Romania;Central and Eastern Europe
Singapore;Southeast Asia
United Arab Emirates;Middle East and North Africa
Taiwan Province of China;East Asia
Uruguay;Latin America and Caribbean
Slovakia;Central and Eastern Europe
Saudi Arabia;Middle East and North Africa
Estonia;Central and Eastern Europe
Spain;Western Europe
Italy;Western Europe
Kosovo;Central and Eastern Europe
Chile;Latin America and Caribbean
Mexico;Latin America and Caribbean
Malta;Western Europe
Panama;Latin America and Caribbean
Poland;Central and Eastern Europe
Nicaragua;Latin America and Caribbean
Latvia;Central and Eastern Europe
Bahrain;Middle East and North Africa
Guatemala;Latin America and Caribbean
Kazakhstan;Commonwealth of Independent States
Serbia;Central and Eastern Europe
Cyprus;Western Europe
Japan;East Asia
Croatia;Central and Eastern Europe
Brazil;Latin America and Caribbean
El Salvador;Latin America and Caribbean
Hungary;Central and Eastern Europe
Argentina;Latin America and Caribbean
Honduras;Latin America and Caribbean
Uzbekistan;Commonwealth of Independent States
Malaysia;Southeast Asia
Portugal;Western Europe
South Korea;East Asia
Greece;Western Europe
Mauritius;Sub-Saharan Africa
Thailand;Southeast Asia
Mongolia;East Asia
Kyrgyzstan;Commonwealth of Independent States
Moldova;Commonwealth of Independent States
China;East Asia
Vietnam;Southeast Asia
Paraguay;Latin America and Caribbean
Montenegro;Central and Eastern Europe
Jamaica;Latin America and Caribbean
Bolivia;Latin America and Caribbean
Russia;Commonwealth of Independent States
Bosnia and Herzegovina;Central and Eastern Europe
Colombia;Latin America and Caribbean
Dominican Republic;Latin America and Caribbean
Ecuador;Latin America and Caribbean
Peru;Latin America and Caribbean
Philippines;Southeast Asia
Bulgaria;Central and Eastern Europe
Nepal;South Asia
Armenia;Commonwealth of Independent States
Tajikistan;Commonwealth of Independent States
Algeria;Middle East and North Africa
Hong Kong S.A.R. of China;East Asia
Albania;Central and Eastern Europe
Indonesia;Southeast Asia
South Africa;Sub-Saharan Africa
Congo (Brazzaville);Sub-Saharan Africa
North Macedonia;Central and Eastern Europe
Venezuela;Latin America and Caribbean
Laos;Southeast Asia
Georgia;Commonwealth of Independent States
Guinea;Sub-Saharan Africa
Ukraine;Commonwealth of Independent States
Ivory Coast;Sub-Saharan Africa
Gabon;Sub-Saharan Africa
Nigeria;Sub-Saharan Africa
Cameroon;Sub-Saharan Africa
Mozambique;Sub-Saharan Africa
Iraq;Middle East and North Africa
State of Palestine;Unknown
Morocco;Middle East and North Africa
Iran;Middle East and North Africa
Senegal;Sub-Saharan Africa
Mauritania;Sub-Saharan Africa
Burkina Faso;Sub-Saharan Africa
Namibia;Sub-Saharan Africa
Turkiye;Unknown
Ghana;Sub-Saharan Africa
Pakistan;South Asia
Niger;Sub-Saharan Africa
Tunisia;Middle East and North Africa
Kenya;Sub-Saharan Africa
Sri Lanka;South Asia
Uganda;Sub-Saharan Africa
Chad;Sub-Saharan Africa
Cambodia;Southeast Asia
Benin;Sub-Saharan Africa
Myanmar;Southeast Asia
Bangladesh;South Asia
Gambia;Sub-Saharan Africa
Mali;Sub-Saharan Africa
Egypt;Middle East and North Africa
Togo;Sub-Saharan Africa
Jordan;Middle East and North Africa
Ethiopia;Sub-Saharan Africa
Liberia;Sub-Saharan Africa
India;South Asia
Madagascar;Sub-Saharan Africa
Zambia;Sub-Saharan Africa
Tanzania;Sub-Saharan Africa
Comoros;Sub-Saharan Africa
Malawi;Sub-Saharan Africa
Botswana;Sub-Saharan Africa
Congo (Kinshasa);Sub-Saharan Africa
Zimbabwe;Sub-Saharan Africa
Sierra Leone;Sub-Saharan Africa
Lebanon;Middle East and North Africa
Afghanistan;South Asia
Kuwait;Middle East and North Africa
Belarus;Commonwealth of Independent States
Turkmenistan;Commonwealth of Independent States
North Cyprus;Western Europe
Libya;Middle East and North Africa
Azerbaijan;Commonwealth of Independent States
Congo;Unknown
Turkey;Middle East and North Africa
Palestinian Territories;Middle East and North Africa
Kingdom of Eswatini;Unknown
Yemen;Middle East and North Africa
Lesotho;Sub-Saharan Africa
Rwanda;Sub-Saharan Africa
Czech Republic;Central and Eastern Europe
Maldives;South Asia
Swaziland;Sub-Saharan Africa
Burundi;Sub-Saharan Africa
Haiti;Latin America and Caribbean
Trinidad and Tobago;Latin America and Caribbean
Macedonia;Central and Eastern Europe
Central African Republic;Sub-Saharan Africa
South Sudan;Sub-Saharan Africa
Qatar;Middle East and North Africa
Bhutan;South Asia
Somalia;Unknown
Syria;Middle East and North Africa
Belize;Unknown
Northern Cyprus;Unknown
Sudan;Sub-Saharan Africa
Angola;Sub-Saharan Africa
Puerto Rico;Unknown
Taiwan;East Asia
Suriname;Latin America and Caribbean
Hong Kong;East Asia
Somaliland region;Sub-Saharan Africa
Oman;Middle East and North Africa
Djibouti;Sub-Saharan Africa
